nm,Reflect,KM
1000,0.8629957735177114,0.010875
998,0.8637746887910106,0.010742
996,0.8681520685746682,0.010012
994,0.8663376805237861,0.010311
992,0.8656718080001278,0.010422
990,0.8644231103113083,0.010632
988,0.8701909926769471,0.009682
986,0.8699666510834342,0.009718
984,0.8676209673037275,0.010099
982,0.8688150592002338,0.009904
980,0.8651289459603635,0.010513
978,0.8602408211096143,0.011353
976,0.868569026486298,0.009944
974,0.864843689013968,0.010561
972,0.8624834143021671,0.010963
970,0.8622860925015925,0.010997
968,0.8633406262727237,0.010816
966,0.8580590721006668,0.01174
964,0.8653374182042803,0.010478
962,0.8630716652551332,0.010862
960,0.8601213376234325,0.011374
958,0.8609776084426659,0.011224
956,0.8593506095569523,0.01151
954,0.8694512240792671,0.009801
952,0.8678709282810851,0.010058
950,0.8648555598175529,0.010559
948,0.8623208884072527,0.010991
946,0.8602180525079651,0.011357
944,0.851447589625996,0.012959
942,0.8648496242541394,0.01056
940,0.8588209747125031,0.011604
938,0.8607257540223343,0.011268
936,0.857097239920478,0.011913
934,0.8561983884709548,0.012076
932,0.8565174137503005,0.012018
930,0.8625298942227088,0.010955
928,0.862419536330947,0.010974
926,0.8636219846818808,0.010768
924,0.8574576664165783,0.011848
922,0.8583385862471429,0.01169
920,0.8581707948571538,0.01172
918,0.8611439152821609,0.011195
916,0.8579028453222761,0.011768
914,0.8517854688573634,0.012895
912,0.8498974319934945,0.013255
910,0.8493783064578995,0.013355
908,0.8499494702847012,0.013245
906,0.8582714397976718,0.011702
904,0.8527570221343518,0.012712
902,0.8392596855787924,0.015393
900,0.8501526392986634,0.013206
898,0.8449948882976583,0.014217
896,0.8444965757601582,0.014317
894,0.8454902504330909,0.014118
892,0.8338464880690455,0.016554
890,0.8444418864297617,0.014328
888,0.8410498864747162,0.01502
886,0.8374620706406359,0.015773
884,0.8363213008611508,0.016017
882,0.831625119660809,0.017045
880,0.8511580016681487,0.013014
878,0.8536507678044917,0.012545
876,0.8374996493987126,0.015765
874,0.8459272553629463,0.014031
872,0.8510528740747865,0.013034
870,0.8244199354529983,0.018697
868,0.8239962628119701,0.018797
866,0.8468161990434557,0.013855
864,0.8334045653798416,0.016651
862,0.8424550517048301,0.014731
860,0.828904708733331,0.017658
858,0.8300737098855006,0.017393
856,0.8332681984811315,0.016681
854,0.8687658071926849,0.009912
852,0.85302923335877,0.012661
850,0.8286371051475311,0.017719
848,0.8113109211820826,0.021942
846,0.761950103729183,0.037186
844,0.8064769367981375,0.023219
842,0.8100188910746534,0.022279
840,0.8251006529268607,0.018537
838,0.8104278204247394,0.022172
836,0.8093640520163188,0.022451
834,0.8167958144393488,0.020546
832,0.7983982594438958,0.025453
830,0.8035019521505548,0.024027
828,0.8294151232279665,0.017542
826,0.8084327850479928,0.022697
824,0.8016916937108038,0.024527
822,0.8013180219602094,0.024631
820,0.8075264129300378,0.022938
818,0.7995562396961846,0.025125
816,0.790954045666774,0.027625
814,0.8061647265220154,0.023303
812,0.8143012413390295,0.021174
810,0.801368267217482,0.024617
808,0.8127473709706203,0.021571
806,0.8108379557442987,0.022065
804,0.8011315506891086,0.024683
802,0.8027823423547309,0.024225
800,0.7946082909067649,0.026545
798,0.7834907576353336,0.029915
796,0.7982330864379943,0.0255
794,0.7993720369699547,0.025177
792,0.7918860512016909,0.027347
790,0.7836911950289404,0.029852
788,0.7826537042401527,0.030179
786,0.7909039241687063,0.02764
784,0.7794127438047862,0.031215
782,0.7836657279301569,0.02986
780,0.7868861877234967,0.028859
778,0.7771299917983897,0.031958
776,0.7783331907322855,0.031565
774,0.7689741228389999,0.034704
772,0.7651207417369493,0.036052
770,0.7691043986823047,0.034659
768,0.7700776434007083,0.034324
766,0.7714239678097874,0.033864
764,0.7759996879025035,0.03233
762,0.7731114790401132,0.033293
760,0.7707493573052981,0.034094
758,0.7664109186194797,0.035597
756,0.7640904936331254,0.036418
754,0.7617287887997701,0.037266
752,0.7563142059984351,0.039258
750,0.7517700978866878,0.040982
748,0.7507258900017064,0.041385
746,0.7545833469629835,0.039909
744,0.7556393404053864,0.039511
742,0.7515882428489534,0.041052
740,0.7469496162738958,0.042864
738,0.7453469664956169,0.043502
736,0.7438661797816221,0.044097
734,0.7425704764415186,0.044622
732,0.7409922864778278,0.045267
730,0.7375646516852807,0.046689
728,0.7370905104297971,0.046888
726,0.7350919289792525,0.047733
724,0.7339787663758829,0.048208
722,0.7310287564555198,0.049482
720,0.7318617859219401,0.04912
718,0.7296296356223049,0.050094
716,0.7244207471418311,0.052417
714,0.7255597429699212,0.051903
712,0.7255730833021886,0.051897
710,0.7197213137691743,0.054574
708,0.7182573374427879,0.055258
706,0.7192533833490995,0.054792
704,0.7121588023488257,0.05817
702,0.7122287949637363,0.058136
700,0.7142395894148411,0.057165
698,0.7108158325560952,0.058825
696,0.7048930295406606,0.061774
694,0.7028760556004767,0.062801
692,0.6993147675172092,0.064643
690,0.6967302065139376,0.066003
688,0.6966490940627683,0.066046
686,0.6931584827451297,0.067915
684,0.687626829545463,0.070952
682,0.684749119435581,0.072569
680,0.6852725006088494,0.072273
678,0.683701587312973,0.073164
676,0.677364942693109,0.076837
674,0.6760453989376267,0.077618
672,0.6778046432119618,0.076578
670,0.6745364703182581,0.078518
668,0.6702782273453725,0.081098
666,0.6694171418828025,0.081627
664,0.6659119396976309,0.083806
662,0.6624139447366469,0.086022
660,0.6627018963123092,0.085838
658,0.6616368273513297,0.08652
656,0.6576573549773623,0.089103
654,0.6523851519163146,0.092611
652,0.6494999134973447,0.094573
650,0.6480476909574632,0.095572
648,0.6475617672021765,0.095908
646,0.6454719138199336,0.097363
644,0.6429590884189266,0.099134
642,0.6393130334891772,0.101746
640,0.6353876582721338,0.104615
638,0.6307725904385237,0.108065
636,0.6311098887140889,0.10781
634,0.6307369115553495,0.108092
632,0.6276023227166306,0.110484
630,0.6252976684355402,0.112268
628,0.6236114837045428,0.113587
626,0.6183395279181001,0.117787
624,0.6166852532571431,0.119129
622,0.6141782897633404,0.121185
620,0.6108185192640473,0.123983
618,0.6090118644249118,0.125508
616,0.6087302613841211,0.125747
614,0.6040259272414016,0.129792
612,0.6007454453103512,0.132672
610,0.5994678630757054,0.133807
608,0.5967232398888119,0.136271
606,0.59257126545363,0.140066
604,0.5900562116198677,0.142405
602,0.586284004581132,0.145971
600,0.5862410610044141,0.146012
598,0.5835051925149582,0.148643
596,0.5817261829145915,0.150374
594,0.579273384321174,0.152787
592,0.5755869108610207,0.156472
590,0.5731049782338951,0.158993
588,0.5713212420603241,0.160825
586,0.5683667937056426,0.163897
584,0.562665671358607,0.16996
582,0.562439735160416,0.170204
580,0.5601738221694221,0.172667
578,0.5563032392349315,0.176942
576,0.553897358825409,0.179643
574,0.5524186226760194,0.18132
572,0.5498837270049346,0.184225
570,0.5481500691915209,0.186234
568,0.5447383756203622,0.190241
566,0.5421624795410519,0.193314
564,0.5371156826887253,0.199456
562,0.5349345992026395,0.202161
560,0.5339924911415463,0.203339
558,0.5338577136086627,0.203508
556,0.5317803505016124,0.206128
554,0.524647186897193,0.215345
552,0.5229803803510843,0.217549
550,0.5216493095622712,0.219323
548,0.5202762800325861,0.221166
546,0.5173263989462095,0.225171
544,0.5141879852987435,0.229501
542,0.51206147309483,0.232476
540,0.5099832373982548,0.235416
538,0.5086298973677134,0.237348
536,0.5046258734523208,0.243146
534,0.5008117543387665,0.248785
532,0.49888266992679897,0.251681
530,0.4990192367653763,0.251475
528,0.4956639097508846,0.25658
526,0.49304803022502075,0.260624
524,0.49243559773940726,0.261579
522,0.48917600340561684,0.266715
520,0.4890917185805329,0.266849
518,0.48752183936489446,0.269356
516,0.4847939383955542,0.273763
514,0.4840194888535999,0.275026
512,0.4817715917034735,0.278722
510,0.48029342211305137,0.281177
508,0.47772839695165215,0.285484
506,0.47356024184060264,0.292612
504,0.4722111105649105,0.294954
502,0.4714996495679151,0.296196
500,0.4680404274906881,0.302304
498,0.46396225495307686,0.309655
496,0.4610797378058681,0.314951
494,0.4609858043035374,0.315125
492,0.45817796559691093,0.320368
490,0.45313728644071505,0.329987
488,0.45015704675744916,0.335802
486,0.4478817346421662,0.340307
484,0.4456736400930581,0.344734
482,0.44133922597580644,0.353585
480,0.43922271373089794,0.357986
478,0.43867808662729135,0.359127
476,0.4345330438758991,0.367927
474,0.43493853046460884,0.367057
472,0.4356702955512385,0.365492
470,0.4309054873690926,0.3758
468,0.4302095913502775,0.377329
466,0.4285576505426265,0.380983
464,0.42490417282876725,0.389188
462,0.42296082080015085,0.393623
460,0.42042682919993646,0.399481
458,0.4177259394976609,0.40582
456,0.4143505404525374,0.413883
454,0.41212076209076476,0.419297
452,0.4125689963938173,0.418203
450,0.4103581141019874,0.423627
448,0.40678818610048806,0.432535
446,0.40508474431488195,0.436852
444,0.4044909790530975,0.438367
442,0.40247565224730675,0.443549
440,0.39917043336605906,0.452183
438,0.3960819493293408,0.460406
436,0.3961109790949593,0.460328
434,0.3955131668224965,0.461937
432,0.39192637553709253,0.471713
430,0.3897237214957099,0.477822
428,0.3880438843152867,0.482536
426,0.38627187868761714,0.487561
424,0.38620805545715897,0.487743
422,0.38274372770219967,0.497729
420,0.3836942618850383,0.494968
418,0.3829261071461958,0.497198
416,0.3814972711248974,0.501374
414,0.3797316988888926,0.506585
412,0.3774738476658277,0.513332
410,0.3768857060917479,0.515105
408,0.37450570461217914,0.522346
406,0.37479798125326513,0.521451
404,0.3725873072471537,0.528261
402,0.3729620489733474,0.5271
400,0.3741299543923675,0.523499
398,0.37317158817293716,0.526452
396,0.37084840893133997,0.533684
394,0.36884546247572425,0.540004
392,0.37066641075335394,0.534255
390,0.37224174630714946,0.529334
388,0.37122357639346903,0.532509
386,0.3685581808285827,0.540917
384,0.3722253402187752,0.529385
382,0.3765093315278434,0.516243
380,0.3761381163113542,0.517368
378,0.38144754234379996,0.50152
376,0.3667451875870933,0.546717
374,0.3694765916710383,0.538004
372,0.36933500144767395,0.538452
370,0.377184651331431,0.514203
368,0.37547437011069773,0.519386
366,0.3695863473214045,0.537657
364,0.3676372221097828,0.543855
362,0.3653822612210902,0.551121
360,0.35948711275985623,0.570614
358,0.3534415046917643,0.591382
356,0.34968717361950064,0.604693
354,0.34466783032970505,0.623006
352,0.3406379706423437,0.638153
350,0.33630759193077653,0.654888
348,0.3214762440149159,0.716063
346,0.31675690662226486,0.736876
344,0.30844458873966607,0.775259
342,0.3009777984753532,0.811741
340,0.28945805836588034,0.872095
338,0.2777814381793573,0.938867
336,0.27397411240501723,0.961977
334,0.2617611326966123,1.041019
332,0.25041125376809736,1.121921
330,0.23490529668983573,1.24597
328,0.21980652532289602,1.384631
326,0.22030543954665527,1.379729
324,0.2162140689878873,1.42063
322,0.20215262740391804,1.574455
320,0.20215262740391804,1.574455
318,0.20215262740391804,1.574455
316,0.1972693725908763,1.63324
314,0.1954110866746217,1.656414
312,0.19134633653985134,1.708736
310,0.18968287807997264,1.73082
308,0.18782638539557128,1.755946
306,0.18544483668984935,1.788942
304,0.18080072491408217,1.855876
302,0.178621819690703,1.888521
300,0.17719276653591365,1.910382
298,0.17858840746450166,1.889028
296,0.17491580711786048,1.945976
294,0.17480938655968714,1.947663
292,0.1757039383634469,1.933548
290,0.17376885631630667,1.96427
288,0.17177189622333477,1.996723
286,0.1735711894186891,1.967448
284,0.17360778933508714,1.966859
282,0.17217191883287075,1.99016
280,0.1717095941208444,1.997748
278,0.17278193587658564,1.980212
276,0.17538160056530838,1.938617
274,0.17493127350207072,1.945731
272,0.17489182402081171,1.946356
270,0.17368302757107346,1.965649
268,0.17430854329689405,1.955631
266,0.17739598974744064,1.907251
264,0.17553724360581802,1.936167
262,0.17494472208006728,1.945518
260,0.17510633482680849,1.942961
258,0.1754217863555727,1.937984
256,0.17455287461782643,1.951738
254,0.1738061029389959,1.963672
252,0.17427145014709167,1.956223
250,0.17334956901639353,1.97102
